nif1#OCTAVIO ALVAREZ#176#19810825#M#1#7#8
nif2#BENJAMÍN SANCHEZ#133#19771227#M#2#4#7
nif3#MANUEL SOSA#164#19980606#M#3#8#5
nif4#OMAR ALVAREZ#157#19700629#M#4#10#15
nif5#LEONARDO ALVAREZ#157#19720318#M#5#1#1
nif6#LEOPOLDO PEREZ#160#19911107#M#6#10#18
nif7#MATEO GARCIA#130#19830631#M#7#10#9
nif8#LEANDRO RODRIGUEZ#139#19851226#M#8#5#15
nif9#LUIS ACOSTA#131#19981131#M#9#5#16
nif10#OSCAR GONZALEZ#154#19810409#M#10#7#7
nif11#LEOPOLDO RUIZ#169#19870221#M#11#10#4
nif12#BORIS GARCIA#131#19920622#M#12#6#8
nif13#OMAR SANCHEZ#169#19940709#M#13#1#2
nif14#BAUTISTA MARTINEZ#156#19900530#M#14#10#6
nif15#LEONARDO PEREZ#174#19890701#M#15#10#19
nif16#LEOPOLDO ACOSTA#145#19961008#M#16#10#11
nif17#MATEO DIAZ#177#19860409#M#17#10#1
nif18#OCTAVIO MARTINEZ#178#19920601#M#18#10#13
nif19#BERNARDO PEREZ#155#19980603#M#19#4#8
nif20#BENJAMÍN DIAZ#135#19920607#M#20#1#11
nif21#LEONARDO TORRES#172#20000503#M#21#11#6
nif22#LUIS RAMIREZ#178#19890816#M#22#4#20
nif23#MATEO ROMERO#138#19710208#M#23#7#13
nif24#LUCAS SANCHEZ#146#19720619#M#24#6#7
nif25#OMAR GOMEZ#167#19750326#M#25#1#2
nif26#MARTÍN ROMERO#133#19951216#M#26#4#7
nif27#ORLANDO LOPEZ#161#19731022#M#27#2#4
nif28#LEOPOLDO FLORES#169#19850714#M#28#4#2
nif29#BRUNO DIAZ#137#19810417#M#29#7#15
nif30#LEANDRO FLORES#157#19900226#M#30#5#20
nif31#OSCAR ROMERO#144#19731217#M#31#6#16
nif32#BRUNO LOPEZ#169#19810621#M#32#4#1
nif33#MARCELO BENITEZ#133#19730530#M#33#1#6
nif34#OCTAVIO LOPEZ#149#19801201#M#34#7#9
nif35#MATEO TORRES#167#19930615#M#35#6#13
nif36#BERNARDO LOPEZ#175#19830726#M#36#6#11
nif37#LEOPOLDO RUIZ#173#19750220#M#37#5#2
nif38#OMAR MARTINEZ#153#19921024#M#38#10#19
nif39#BORIS RAMIREZ#178#19940912#M#39#4#15
nif40#LUIS BENITEZ#156#19991124#M#40#6#13
nif41#MANUEL RAMIREZ#158#19911029#M#41#1#6
nif42#LEANDRO ROMERO#178#19710425#M#42#3#12
nif43#OMAR ACOSTA#146#19840705#M#43#6#13
nif44#LEOPOLDO ACOSTA#169#19790606#M#44#8#8
nif45#ORLANDO BENITEZ#133#19840728#M#45#4#5
nif46#OSIRIS RUIZ#143#19760620#M#46#11#2
nif47#OCTAVIO TORRES#180#19760421#M#47#6#14
nif48#MARTÍN FLORES#159#19880307#M#48#7#15
nif49#LEONARDO BENITEZ#145#19711126#M#49#6#19
nif50#LEONARDO FERNANDEZ#177#19731023#M#50#10#5
nif51#LEONARDO GOMEZ#156#19880608#M#51#6#6
nif52#BRUNO LOPEZ#171#19840505#M#52#10#20
nif53#OMAR BENITEZ#137#19971029#M#53#10#3
nif54#BRUNO MARTINEZ#130#19981005#M#54#2#4
nif55#OCTAVIO BENITEZ#150#19731207#M#55#3#9
nif56#MARCELO RUIZ#159#19840717#M#56#6#20
nif57#OSCAR BENITEZ#137#19920428#M#57#9#4
nif58#MARCOS GARCIA#149#19730519#M#58#1#16
nif59#LEANDRO RUIZ#170#19730519#M#59#6#16
nif60#MARTÍN TORRES#133#19830707#M#60#6#6
nif61#LEONARDO MEDINA#139#19761022#M#61#3#16
nif62#BAUTISTA MARTINEZ#170#19760619#M#62#3#10
nif63#OSIRIS RUIZ#139#19880926#M#63#10#6
nif64#MATEO RUIZ#139#19990508#M#64#11#7
nif65#OSCAR ACOSTA#135#19761113#M#65#11#19
nif66#LUCAS MARTINEZ#142#19860327#M#66#4#12
nif67#BRUNO MARTINEZ#150#19720826#M#67#3#11
